cv_scheme = classic:
 network  method           prob           SE df   asymp.LCL   asymp.UCL
 string   z         0.119667918 0.0012882234 NA 0.117165973 0.122215893
 omnipath z         0.077061494 0.0009825490 NA 0.075157652 0.079009443
 string   knn       0.090331887 0.0010835513 NA 0.088230532 0.092478214
 omnipath knn       0.069344074 0.0009209245 NA 0.067560692 0.071170938
 string   wsld      0.090699127 0.0010862647 NA 0.088592464 0.092850782
 omnipath wsld      0.064559584 0.0008815183 NA 0.062853213 0.066309002
 string   COSNet    0.074781605 0.0009645802 NA 0.072912891 0.076694251
 omnipath COSNet    0.032281082 0.0005826615 NA 0.031158407 0.033442812
 string   bagsvm    0.121022261 0.0012971281 NA 0.118502875 0.123587699
 omnipath bagsvm    0.084467160 0.0010396397 NA 0.082451687 0.086527253
 string   rf        0.174748854 0.0016176689 NA 0.171600918 0.177942132
 omnipath rf        0.081499785 0.0010169918 NA 0.079528600 0.083515394
 string   svm       0.128970343 0.0013485032 NA 0.126350317 0.131636512
 omnipath svm       0.060754581 0.0008494617 NA 0.059110848 0.062440988

cv_scheme = representative:
 network  method           prob           SE df   asymp.LCL   asymp.UCL
 string   pr        0.010922172 0.0003267188 NA 0.010300034 0.011581449
 omnipath pr        0.012468374 0.0003507472 NA 0.011799308 0.013174873
 string   randomraw 0.009190307 0.0002980638 NA 0.008624135 0.009793281
 omnipath randomraw 0.008066214 0.0002782299 NA 0.007538781 0.008630226
 string   random    0.005449536 0.0002267103 NA 0.005022736 0.005912387
 omnipath random    0.006428315 0.0002470430 NA 0.005961798 0.006931082
 string   EGAD      0.067615320 0.0009203922 NA 0.065833550 0.069441727
 omnipath EGAD      0.021886747 0.0004773550 NA 0.020970441 0.022842157
 string   ppr       0.107078619 0.0012160920 NA 0.104718364 0.109485567
 omnipath ppr       0.049641713 0.0007650041 NA 0.048163613 0.051162736
 string   raw       0.129110759 0.0013613664 NA 0.126465932 0.131802553
 omnipath raw       0.090655127 0.0010992580 NA 0.088523547 0.092832807
 string   gm        0.064940752 0.0008982799 NA 0.063202207 0.066723713
 omnipath gm        0.053858367 0.0008030042 NA 0.052306022 0.055454088
 string   mc        0.044606265 0.0007181416 NA 0.043219714 0.046035159
 omnipath mc        0.054531429 0.0008089735 NA 0.052967419 0.056138882
 string   z         0.126235421 0.0013430886 NA 0.123626412 0.128891392
 omnipath z         0.081507206 0.0010305420 NA 0.079510052 0.083549972
 string   knn       0.095463987 0.0011342956 NA 0.093263844 0.097710438
 omnipath knn       0.073379962 0.0009670168 NA 0.071507038 0.075297965
 string   wsld      0.095849893 0.0011370766 NA 0.093644308 0.098101802
 omnipath wsld      0.068337457 0.0009263089 NA 0.066544121 0.070175490
 string   COSNet    0.079107062 0.0010120361 NA 0.077146102 0.081113487
 omnipath COSNet    0.034239231 0.0006154665 NA 0.033053222 0.035466236
 string   bagsvm    0.127653313 0.0013521262 NA 0.125026595 0.130326998
 omnipath bagsvm    0.089298770 0.0010892441 NA 0.087186783 0.091456792
 string   rf        0.183708436 0.0016745813 NA 0.180449010 0.187013301
 omnipath rf        0.086177636 0.0010659743 NA 0.084111173 0.088289974
 string   svm       0.135969521 0.0014041887 NA 0.133240757 0.138745224
 omnipath svm       0.064325106 0.0008931446 NA 0.062596599 0.066097977

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
