cv_scheme = classic:
 network  method          prob           SE df  asymp.LCL  asymp.UCL
 string   ppr       0.42225383 0.0024971706 NA 0.41736725 0.42715568
 omnipath ppr       0.24338029 0.0020066223 NA 0.23946896 0.24733472
 string   raw       0.42841800 0.0025070526 NA 0.42351148 0.43333864
 omnipath raw       0.33262088 0.0023017764 NA 0.32812493 0.33714752
 string   gm        0.10162545 0.0012785789 NA 0.09914674 0.10415897
 omnipath gm        0.13971327 0.0015142620 NA 0.13677169 0.14270765
 string   mc        0.35387434 0.0023569570 NA 0.34926855 0.35850741
 omnipath mc        0.28553118 0.0021591960 NA 0.28131812 0.28978188
 string   z         0.41740558 0.0024890795 NA 0.41253531 0.42229202
 omnipath z         0.29671766 0.0021956586 NA 0.29243237 0.30103904
 string   knn       0.37805552 0.0024129934 NA 0.37333787 0.38279637
 omnipath knn       0.29262684 0.0021825151 NA 0.28836759 0.29692275
 string   wsld      0.37999485 0.0024171797 NA 0.37526883 0.38474374
 omnipath wsld      0.28604697 0.0021609135 NA 0.28183051 0.29030100
 string   COSNet    0.17613044 0.0017086747 NA 0.17280650 0.17950446
 omnipath COSNet    0.12173025 0.0014077046 NA 0.11899802 0.12451634
 string   bagsvm    0.42009545 0.0024936032 NA 0.41521607 0.42499051
 omnipath bagsvm    0.31836284 0.0022615987 NA 0.31394672 0.32281184
 string   rf        0.45141001 0.0025399154 NA 0.44643689 0.45639285
 omnipath rf        0.28517626 0.0021580122 NA 0.28096556 0.28942467
 string   svm       0.39325258 0.0024445826 NA 0.38847169 0.39805400
 omnipath svm       0.23419964 0.0019700772 NA 0.23036047 0.23808299

cv_scheme = representative:
 network  method          prob           SE df  asymp.LCL  asymp.UCL
 string   pr        0.09168101 0.0013379847 NA 0.08909211 0.09433735
 omnipath pr        0.10219288 0.0014114215 NA 0.09945954 0.10499259
 string   randomraw 0.05923288 0.0010763659 NA 0.05715811 0.06137806
 omnipath randomraw 0.05508544 0.0010378944 NA 0.05308622 0.05715540
 string   random    0.04314137 0.0009179190 NA 0.04137768 0.04497671
 omnipath random    0.04332933 0.0009199305 NA 0.04156169 0.04516860
 string   EGAD      0.37503354 0.0024394443 NA 0.37026464 0.37982681
 omnipath EGAD      0.17595366 0.0018282107 NA 0.17239908 0.17956563
 string   ppr       0.49702623 0.0025509966 NA 0.49202683 0.50202622
 omnipath ppr       0.30309500 0.0022860168 NA 0.29863329 0.30759413
 string   raw       0.50333100 0.0025518689 NA 0.49832926 0.50833207
 omnipath raw       0.40258105 0.0024805563 NA 0.39772897 0.40745228
 string   gm        0.13265785 0.0016018503 NA 0.12954963 0.13582901
 omnipath gm        0.18004528 0.0018473887 NA 0.17645284 0.18369455
 string   mc        0.42545497 0.0025075507 NA 0.42054778 0.43037689
 omnipath mc        0.35079299 0.0023953328 NA 0.34611278 0.35550207
 string   z         0.49205063 0.0025499709 NA 0.48705374 0.49704911
 omnipath z         0.36323640 0.0024189162 NA 0.35850883 0.36799055
 string   knn       0.45111244 0.0025302339 NA 0.44615829 0.45607630
 omnipath knn       0.35869623 0.0024105424 NA 0.35398549 0.36343439
 string   wsld      0.45315348 0.0025316960 NA 0.44819626 0.45812001
 omnipath wsld      0.35136869 0.0023964680 NA 0.34668621 0.35607995
 string   COSNet    0.22423508 0.0020338455 NA 0.22027402 0.22824652
 omnipath COSNet    0.15782334 0.0017388746 NA 0.15444504 0.16126145
 string   bagsvm    0.49481299 0.0025505771 NA 0.48981464 0.49981238
 omnipath bagsvm    0.38706340 0.0024585647 NA 0.38225589 0.39189301
 string   rf        0.52663912 0.0025509413 NA 0.52163686 0.53163604
 omnipath rf        0.35039674 0.0023945489 NA 0.34571811 0.35510432
 string   svm       0.46704093 0.0025403101 NA 0.46206546 0.47202296
 omnipath svm       0.29253272 0.0022576073 NA 0.28812760 0.29697710

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
