cv_scheme = classic:
 network  method           rate          SE df   asymp.LCL   asymp.UCL
 network  method           rate          SE df   asymp.LCL   asymp.UCL
 string   pr         0.22424632 0.009820728 NA  0.20580100  0.24434484
 omnipath pr         0.41920149 0.013507210 NA  0.39354646  0.44652895
 string   randomraw  0.06196206 0.005136078 NA  0.05267071  0.07289245
 omnipath randomraw  0.12741652 0.007380731 NA  0.11374152  0.14273565
 string   random     0.10933487 0.006833223 NA  0.09672978  0.12358256
 omnipath random     0.12876842 0.007420142 NA  0.11501641  0.14416470
 string   EGAD       2.42423735 0.034396564 NA  2.35775009  2.49259952
 omnipath EGAD       0.96627013 0.020844068 NA  0.92626810  1.00799969
 string   ppr        3.12840798 0.039809607 NA  3.05134755  3.20741453
 omnipath ppr        1.73110724 0.028517509 NA  1.67610665  1.78791265
 string   raw        3.66601332 0.043692720 NA  3.58136963  3.75265752
 omnipath raw        2.74751031 0.036936246 NA  2.67606202  2.82086620
 string   gm         2.94719712 0.038456975 NA  2.87277851  3.02354352
 omnipath gm         2.44434686 0.034557676 NA  2.37754486  2.51302579
 string   mc         0.86983464 0.019720672 NA  0.83202901  0.90935807
 omnipath mc         1.67827050 0.028037315 NA  1.62420829  1.73413219
 string   z          3.55189048 0.042882974 NA  3.46882803  3.63694189
 omnipath z          2.56827097 0.035540971 NA  2.49954814  2.63888327
 string   knn        3.08221808 0.039467157 NA  3.00582648  3.16055113
 omnipath knn        2.50574562 0.035046860 NA  2.43798801  2.57538638
 string   wsld       3.12609848 0.039792524 NA  3.04907142  3.20507143
 omnipath wsld       2.38711645 0.034098005 NA  2.32121243  2.45489161
 string   COSNet     3.10221492 0.039615589 NA  3.02553343  3.18083990
 omnipath COSNet     1.47593622 0.026142950 NA  1.42557620  1.52807527
 string   bagsvm     3.67795510 0.043777039 NA  3.59314676  3.76476516
 omnipath bagsvm     2.73106220 0.036809453 NA  2.65986157  2.80416876
 string   rf         4.73254933 0.050964478 NA  4.63370757  4.83349948
 omnipath rf         2.75257993 0.036975277 NA  2.68105540  2.82601257
 string   svm        3.79326086 0.044587324 NA  3.70687027  3.88166483
 omnipath svm        2.28639994 0.033279934 NA  2.22209410  2.35256674

cv_scheme = representative:
 network  method           rate          SE df   asymp.LCL   asymp.UCL
 string   pr         0.21993087 0.009633221 NA  0.20183784  0.23964578
 omnipath pr         0.41113427 0.013251050 NA  0.38596600  0.43794372
 string   randomraw  0.06076965 0.005037455 NA  0.05165674  0.07149019
 omnipath randomraw  0.12496449 0.007239333 NA  0.11155153  0.13999021
 string   random     0.10723080 0.006702231 NA  0.09486740  0.12120543
 omnipath random     0.12629037 0.007277995 NA  0.11280187  0.14139179
 string   EGAD       2.37758471 0.033784196 NA  2.31228246  2.44473120
 omnipath EGAD       0.94767498 0.020455940 NA  0.90841834  0.98862807
 string   ppr        3.06820410 0.039114811 NA  2.99249033  3.14583353
 omnipath ppr        1.69779337 0.027999203 NA  1.64379336  1.75356733
 string   raw        3.59546363 0.042941097 NA  3.51227804  3.68061942
 omnipath raw        2.69463652 0.036284722 NA  2.62445003  2.76670004
 string   gm         2.89048051 0.037782417 NA  2.81736887  2.96548943
 omnipath gm         2.39730723 0.033942798 NA  2.33169516  2.46476556
 string   mc         0.85309532 0.019352298 NA  0.81599636  0.89188097
 omnipath mc         1.64597344 0.027526909 NA  1.59289632  1.70081915
 string   z          3.48353700 0.042143050 NA  3.40190970  3.56712290
 omnipath z          2.51884651 0.034910852 NA  2.45134351  2.58820836
 string   knn        3.02290309 0.038777462 NA  2.94784814  3.09986901
 omnipath knn        2.45752442 0.034424383 NA  2.39097164  2.52592970
 string   wsld       3.06593905 0.039097982 NA  2.99025814  3.14353538
 omnipath wsld       2.34117817 0.033490298 NA  2.27645003  2.40774678
 string   COSNet     3.04251511 0.038923681 NA  2.96717460  3.11976862
 omnipath COSNet     1.44753293 0.025664029 NA  1.39809627  1.49871767
 string   bagsvm     3.60717560 0.043024202 NA  3.52382773  3.69249487
 omnipath bagsvm     2.67850494 0.036159863 NA  2.60856232  2.75032292
 string   rf         4.64147495 0.050111130 NA  4.54429080  4.74073748
 omnipath rf         2.69960858 0.036323158 NA  2.62934702  2.77174769
 string   svm        3.72026238 0.043822866 NA  3.63535506  3.80715280
 omnipath svm        2.24239988 0.032685060 NA  2.17924475  2.30738526

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
