cv_scheme = classic:
 network  method          prob           SE df  asymp.LCL  asymp.UCL
 omnipath z         0.24597086 0.0021557884 NA 0.24177008 0.25022053
 string   knn       0.30818141 0.0023552267 NA 0.30358452 0.31281664
 omnipath knn       0.25268139 0.0021802132 NA 0.24843221 0.25697839
 string   wsld      0.30919563 0.0023579955 NA 0.30459322 0.31383619
 omnipath wsld      0.24418873 0.0021491776 NA 0.24000105 0.24842559
 string   COSNet    0.18011817 0.0018741796 NA 0.17647403 0.18382076
 omnipath COSNet    0.11614075 0.0015118107 NA 0.11321033 0.11913683
 string   bagsvm    0.34666248 0.0024500165 NA 0.34187627 0.35147990
 omnipath bagsvm    0.26966458 0.0022387938 NA 0.26529921 0.27407498
 string   rf        0.42925749 0.0025853626 NA 0.42419785 0.43433195
 omnipath rf        0.25709950 0.0021958949 NA 0.25281924 0.26142688
 string   svm       0.37231443 0.0025017986 NA 0.36742428 0.37723086
 omnipath svm       0.21011879 0.0020123545 NA 0.20620181 0.21409010

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
