cv_scheme = classic:
 network  method          rate         SE df  asymp.LCL  asymp.UCL
 omnipath random     0.8535532 0.02234295 NA  0.8108662  0.8984874
 string   EGAD       7.8413264 0.07101076 NA  7.7033758  7.9817474
 omnipath EGAD       3.9832482 0.04933039 NA  3.8877264  4.0811170
 string   ppr       10.3039657 0.08268959 NA 10.1431650 10.4673156
 omnipath ppr        6.8046048 0.06570444 NA  6.6770373  6.9346094
 string   raw       10.8834320 0.08529146 NA 10.7175411 11.0518906
 omnipath raw        8.6155756 0.07480638 NA  8.4701983  8.7634481
 string   gm         4.9413317 0.05530140 NA  4.8341231  5.0509180
 omnipath gm         5.1630425 0.05661276 NA  5.0532673  5.2752024
 string   mc         7.4231312 0.06890383 NA  7.2893032  7.5594162
 omnipath mc         7.5402377 0.06949815 NA  7.4052468  7.6776894
 string   z         10.8574659 0.08517587 NA 10.6918011 11.0256975
 omnipath z          7.8857129 0.07123193 NA  7.7473296  8.0265682
 string   knn       10.3346664 0.08282865 NA 10.1735936 10.4982893
 omnipath knn        8.1425631 0.07250295 NA  8.0016927  8.2859135
 string   wsld      10.4425997 0.08331641 NA 10.2805727 10.6071803
 omnipath wsld       7.8818661 0.07121278 NA  7.7435202  8.0226837
 string   COSNet     6.4813968 0.06398881 NA  6.3571866  6.6080338
 omnipath COSNet     4.0590013 0.04982297 NA  3.9625153  4.1578366
 string   bagsvm    10.7492367 0.08469308 NA 10.5845164 10.9165204
 omnipath bagsvm     8.5124509 0.07430815 NA  8.3680485  8.6593452
 string   rf        13.4960978 0.09651280 NA 13.3082557 13.6865913
 omnipath rf         8.0718405 0.07215445 NA  7.9316520  8.2145068
 string   svm       12.1506678 0.09082920 NA 11.9739436 12.3300002
 omnipath svm        6.8520984 0.06595390 NA  6.7240428  6.9825927

cv_scheme = representative:
 network  method          rate         SE df  asymp.LCL  asymp.UCL
 string   pr         1.1895294 0.02447823 NA  1.1425076  1.2384865
 omnipath pr         1.7328683 0.02970648 NA  1.6756119  1.7920811
 string   randomraw  0.8365354 0.02045366 NA  0.7973923  0.8775999
 omnipath randomraw  0.8503832 0.02062546 NA  0.8109039  0.8917847
 string   random     0.6106268 0.01743493 NA  0.5773935  0.6457729
 omnipath random     0.7262562 0.01903667 NA  0.6898873  0.7645425
 string   EGAD       6.6718890 0.06110472 NA  6.5531945  6.7927334
 omnipath EGAD       3.3891957 0.04222824 NA  3.3074323  3.4729804
 string   ppr        8.7672560 0.07137071 NA  8.6284820  8.9082619
 omnipath ppr        5.7897816 0.05646278 NA  5.6801675  5.9015111
 string   raw        9.2603020 0.07366684 NA  9.1170374  9.4058178
 omnipath raw        7.3306685 0.06443379 NA  7.2054622  7.4580505
 string   gm         4.2043929 0.04740351 NA  4.1125027  4.2983362
 omnipath gm         4.3930382 0.04854248 NA  4.2989196  4.4892175
 string   mc         6.3160625 0.05925989 NA  6.2009766  6.4332842
 omnipath mc         6.4157040 0.05978006 NA  6.2996006  6.5339472
 string   z          9.2382084 0.07356476 NA  9.0951434  9.3835237
 omnipath z          6.7096559 0.06129851 NA  6.5905822  6.8308808
 string   knn        8.7933780 0.07149334 NA  8.6543642  8.9346248
 omnipath knn        6.9281999 0.06241264 NA  6.8069470  7.0516128
 string   wsld       8.8852144 0.07192358 NA  8.7453591  9.0273062
 omnipath wsld       6.7063827 0.06128173 NA  6.5873419  6.8275747
 string   COSNet     5.5147761 0.05496499 NA  5.4080921  5.6235647
 omnipath COSNet     3.4536511 0.04265452 NA  3.3710536  3.5382725
 string   bagsvm     9.1461202 0.07313849 NA  9.0038890  9.2905983
 omnipath bagsvm     7.2429236 0.06399639 NA  7.1185728  7.3694466
 string   rf        11.4833208 0.08360569 NA 11.3206203 11.6483597
 omnipath rf         6.8680248 0.06210708 NA  6.7473695  6.9908376
 string   svm       10.3385451 0.07856448 NA 10.1857026 10.4936811
 omnipath svm        5.8301922 0.05668068 NA  5.7201518  5.9423494

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
