network = string:
 cv_scheme      method         prob          SE df asymp.LCL asymp.UCL
 block          bagsvm    0.7850236 0.001971270 NA 0.7811348 0.7888620
 representative bagsvm    0.8306229 0.001808174 NA 0.8270494 0.8341374
 classic        rf        0.8507868 0.001720916 NA 0.8473823 0.8541284
 block          rf        0.7405530 0.002093151 NA 0.7364295 0.7446344
 representative rf        0.7895888 0.001956825 NA 0.7857279 0.7933985
 classic        svm       0.8067029 0.001899111 NA 0.8029535 0.8103979
 block          svm       0.6841660 0.002204903 NA 0.6798286 0.6884715
 representative svm       0.7193345 0.002140388 NA 0.7151204 0.7235104

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
