network = string:
 cv_scheme      method          rate         SE df  asymp.LCL  asymp.UCL
 block          knn       11.9697375 0.12608890 NA 11.7251415 12.2194360
 representative knn        8.5390927 0.10614177 NA  8.3335724  8.7496816
 classic        wsld      19.7019254 0.16297874 NA 19.3850686 20.0239615
 block          wsld      12.1527853 0.12707197 NA 11.9062635 12.4044114
 representative wsld       8.3773220 0.10511489 NA  8.1738132  8.5858976
 classic        COSNet    13.7157573 0.13520127 NA 13.4533111 13.9833233
 block          COSNet     4.4566547 0.07637333 NA  4.3094517  4.6088859
 representative COSNet     4.9694161 0.08068814 NA  4.8137602  5.1301052
 classic        bagsvm    21.1861235 0.16924630 NA 20.8569902 21.5204506
 block          bagsvm    10.9045842 0.12022331 NA 10.6714784 11.1427818
 representative bagsvm    10.1990297 0.11618891 NA  9.9738272 10.4293172
 classic        rf        23.7033156 0.17944861 NA 23.3541993 24.0576508
 block          rf        12.8989449 0.13100981 NA 12.6447092 13.1582922
 representative rf        10.7509344 0.11935543 NA 10.5195288 10.9874304
 classic        svm       21.4684102 0.17041605 NA 21.1369858 21.8050314
 block          svm       10.9123804 0.12026719 NA 10.6791887 11.1506640
 representative svm        9.3404752 0.11109780 NA  9.1252460  9.5607809

network = omnipath:
 cv_scheme      method          rate         SE df  asymp.LCL  asymp.UCL
 classic        pr         1.9942675 0.04378954 NA  1.9102622  2.0819671
 block          pr         1.9949833 0.04379747 NA  1.9109624  2.0826983
 representative pr         1.5490823 0.03855450 NA  1.4753303  1.6265212
 classic        randomraw  1.5149658 0.03812459 NA  1.4420558  1.5915620
 block          randomraw  0.9139896 0.02957179 NA  0.8578294  0.9738264
 representative randomraw  0.7679803 0.02709797 NA  0.7166641  0.8229709
 classic        random     0.9691009 0.03045419 NA  0.9112129  1.0306666
 block          random     0.9439310 0.03005437 NA  0.8868259  1.0047133
 representative random     0.6205395 0.02435009 NA  0.5746033  0.6701481
 classic        EGAD      11.4717502 0.10726798 NA 11.2634237 11.6839300
 block          EGAD       4.1037679 0.06311702 NA  3.9819068  4.2293584
 representative EGAD       3.4915786 0.05813872 NA  3.3794681  3.6074082
 classic        ppr       14.2740791 0.12038433 NA 14.0400695 14.5119889
 block          ppr        6.8613635 0.08211924 NA  6.7022858  7.0242168
 representative ppr        6.4520841 0.07955974 NA  6.2980191  6.6099179
 classic        raw       15.7928621 0.12704109 NA 15.5458187 16.0438313
 block          raw        8.0589022 0.08923459 NA  7.8858898  8.2357104
 representative raw        7.5903364 0.08651161 NA  7.4226566  7.7618041
 classic        gm         9.3632042 0.09646265 NA  9.1760369  9.5541892
 block          gm         4.3720481 0.06518683 NA  4.2461330  4.5016970
 representative gm         2.5580257 0.04965775 NA  2.4625265  2.6572283
 classic        mc        12.0109349 0.10988900 NA 11.7974760 12.2282561
 block          mc         6.2653974 0.07836761 NA  6.1136672  6.4208933
 representative mc         5.8520623 0.07566855 NA  5.7056181  6.0022651
 classic        z         15.6578273 0.12646019 NA 15.4119213 15.9076569
 block          z          7.4007867 0.08538861 NA  7.2353062  7.5700519
 representative z          7.1647145 0.08397160 NA  7.0020091  7.3312007
 classic        knn       14.7319089 0.12242041 NA 14.4939127 14.9738131
 block          knn        8.7910959 0.09335129 NA  8.6100215  8.9759783
 representative knn        6.2714811 0.07840672 NA  6.1196743  6.4270537
 classic        wsld      14.4699510 0.12125868 NA 14.2342295 14.7095761
 block          wsld       8.9255342 0.09409030 NA  8.7430126  9.1118661
 representative wsld       6.1526696 0.07763986 NA  6.0023647  6.3067384
 classic        COSNet    10.0734488 0.10021081 NA  9.8789416 10.2717856
 block          COSNet     3.2731611 0.05626308 NA  3.1647243  3.3853133
 representative COSNet     3.6497553 0.05946231 NA  3.5350524  3.7681800
 classic        bagsvm    15.5600106 0.12603813 NA 15.3149310 15.8090122
 block          bagsvm     8.0088009 0.08894690 NA  7.8363519  8.1850449
 representative bagsvm     7.4906111 0.08592238 NA  7.3240852  7.6609231
 classic        rf        17.4087460 0.13384309 NA 17.1483850 17.6730601
 block          rf         9.4735462 0.09705296 NA  9.2852229  9.6656891
 representative rf         7.8959539 0.08829594 NA  7.7247797  8.0709211
 classic        svm       15.7673343 0.12693143 NA 15.5205056 16.0180883
 block          svm        8.0145268 0.08897982 NA  7.8420133  8.1908353
 representative svm        6.8600513 0.08211115 NA  6.7009895  7.0228888

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
