network = string:
 cv_scheme      method           rate          SE df   asymp.LCL  asymp.UCL
 block          bagsvm     3.51192310 0.066813120 NA  3.38338316  3.6453465
 representative bagsvm     3.77013459 0.069279825 NA  3.63676478  3.9083954
 classic        rf        10.82884088 0.119891606 NA 10.59638885 11.0663922
 block          rf         4.89984844 0.079249569 NA  4.74695826  5.0576629
 representative rf         4.76812047 0.078146128 NA  4.61739074  4.9237706
 classic        svm        9.05961399 0.109097490 NA  8.84829050  9.2759845
 block          svm        3.98747031 0.071295491 NA  3.85015382  4.1296842
 representative svm        3.60107856 0.067674138 NA  3.47085272  3.7361905

network = omnipath:
 cv_scheme      method           rate          SE df   asymp.LCL  asymp.UCL
 classic        pr         0.41702257 0.019115383 NA  0.38119078  0.4562225
 block          pr         0.41540286 0.019077969 NA  0.37964426  0.4545296
 representative pr         0.40104139 0.018743286 NA  0.36593755  0.4395127
 classic        randomraw  0.16110763 0.011858576 NA  0.13946400  0.1861102
 block          randomraw  0.10322982 0.009488507 NA  0.08621163  0.1236074
 representative randomraw  0.09869462 0.009277377 NA  0.08208803  0.1186608
 classic        random     0.17514516 0.012366357 NA  0.15250986  0.2011400
 block          random     0.17050198 0.012200912 NA  0.14818986  0.1961735
 representative random     0.11078849 0.009830574 NA  0.09310332  0.1318330
 classic        EGAD       4.38834732 0.063776123 NA  4.26511189  4.5151435
 block          EGAD       1.01880062 0.030008543 NA  0.96165047  1.0793471
 representative EGAD       1.09233567 0.031087964 NA  1.03307262  1.1549984
 classic        ppr        5.70074824 0.073342974 NA  5.55879591  5.8463256
 block          ppr        1.72769580 0.039277554 NA  1.65240311  1.8064192
 representative ppr        1.88707573 0.041095990 NA  1.80822388  1.9693661
 classic        raw        7.20362763 0.083278579 NA  7.04223991  7.3687139
 block          raw        2.45268015 0.047040089 NA  2.36219461  2.5466318
 representative raw        2.63819148 0.048850542 NA  2.54416275  2.7356954
 classic        gm         6.50326294 0.078758973 NA  6.35071582  6.6594743
 block          gm         2.15864792 0.044038676 NA  2.07403658  2.2467110
 representative gm         1.67348934 0.038641008 NA  1.59944252  1.7509642
 classic        mc         2.59067985 0.048392454 NA  2.49754762  2.6872849
 block          mc         1.15042944 0.031918643 NA  1.08954059  1.2147211
 representative mc         1.14351866 0.031821032 NA  1.08282087  1.2076189
 classic        z          6.89393815 0.081301588 NA  6.73641747  7.0551422
 block          z          2.18337556 0.044297980 NA  2.09825672  2.2719474
 representative z          2.65482055 0.049009999 NA  2.56047975  2.7526373
 classic        knn        5.55454199 0.072324816 NA  5.41458147  5.6981203
 block          knn        2.68937447 0.049339922 NA  2.59438799  2.7878386
 representative knn        2.46801345 0.047192016 NA  2.37723057  2.5622632
 classic        wsld       5.50098342 0.071949184 NA  5.36175776  5.6438243
 block          wsld       2.63916331 0.048859874 NA  2.54511631  2.7366855
 representative wsld       2.42849240 0.046799570 NA  2.33847759  2.5219722
 classic        COSNet     5.87870091 0.074568384 NA  5.73435135  6.0266842
 block          COSNet     1.56064921 0.037285669 NA  1.48925522  1.6354658
 representative COSNet     1.33680463 0.034452214 NA  1.27095660  1.4060642
 classic        bagsvm     7.18807836 0.083180085 NA  7.02688330  7.3529712
 block          bagsvm     2.45851112 0.047097912 NA  2.36791241  2.5525762
 representative bagsvm     2.63927129 0.048860910 NA  2.54522227  2.7367955
 classic        rf         7.58069723 0.085643383 NA  7.41468407  7.7504274
 block          rf         3.43012404 0.056012047 NA  3.32208064  3.5416813
 representative rf         3.33790828 0.055218479 NA  3.23141777  3.4479082
 classic        svm        6.34215531 0.077693506 NA  6.19169239  6.4962746
 block          svm        2.79141650 0.050303360 NA  2.69454456  2.8917711
 representative svm        2.52092413 0.047713022 NA  2.42912160  2.6161961

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
