network = string:
 cv_scheme      method          prob          SE df  asymp.LCL  asymp.UCL
 block          wsld      0.40716395 0.003111735 NA 0.40107965 0.41327685
 representative wsld      0.44713772 0.003127738 NA 0.44101581 0.45327571
 classic        COSNet    0.35188714 0.003050085 NA 0.34593255 0.35788815
 block          COSNet    0.13681958 0.002244178 NA 0.13248027 0.14127788
 representative COSNet    0.25066031 0.002802653 NA 0.24520736 0.25619336
 classic        bagsvm    0.62897317 0.002920248 NA 0.62323172 0.63467842
 block          bagsvm    0.41248547 0.003115211 NA 0.40639352 0.41860434
 representative bagsvm    0.51180141 0.003105762 NA 0.50571278 0.51788654
 classic        rf        0.63834140 0.002897268 NA 0.63264376 0.64400040
 block          rf        0.41842782 0.003118600 NA 0.41232829 0.42455239
 representative rf        0.48734622 0.003120885 NA 0.48123160 0.49346463
 classic        svm       0.58694728 0.003008335 NA 0.58103884 0.59283077
 block          svm       0.35471031 0.003054398 NA 0.34874680 0.36071931
 representative svm       0.42209992 0.003120434 NA 0.41599622 0.42822750

network = omnipath:
 cv_scheme      method          prob          SE df  asymp.LCL  asymp.UCL
 classic        pr        0.08212445 0.001491382 NA 0.07924836 0.08509527
 block          pr        0.08487124 0.001515992 NA 0.08194675 0.08789010
 representative pr        0.09004906 0.001561246 NA 0.08703556 0.09315626
 classic        randomraw 0.06102943 0.001285803 NA 0.05855742 0.06359874
 block          randomraw 0.04280218 0.001076054 NA 0.04074209 0.04496155
 representative randomraw 0.04751949 0.001134104 NA 0.04534544 0.04979235
 classic        random    0.03807010 0.001014467 NA 0.03613089 0.04010905
 block          random    0.03779836 0.001010816 NA 0.03586632 0.03983018
 representative random    0.03848506 0.001020017 NA 0.03653496 0.04053486
 classic        EGAD      0.35597282 0.002883377 NA 0.35034178 0.36164398
 block          EGAD      0.17571675 0.002158131 NA 0.17152687 0.17998674
 representative EGAD      0.20946585 0.002338251 NA 0.20491981 0.21408559
 classic        ppr       0.46870160 0.003087630 NA 0.46265485 0.47475755
 block          ppr       0.27278319 0.002616629 NA 0.26768492 0.27794170
 representative ppr       0.34996188 0.002867535 NA 0.34436266 0.35560277
 classic        raw       0.52708587 0.003125255 NA 0.52095671 0.53320687
 block          raw       0.31240801 0.002756698 NA 0.30703064 0.31783636
 representative raw       0.40673339 0.002996930 NA 0.40087311 0.41262034
 classic        gm        0.22371130 0.002407241 NA 0.21902863 0.22846480
 block          gm        0.10370643 0.001674178 NA 0.10047071 0.10703397
 representative gm        0.09240433 0.001581363 NA 0.08935125 0.09555078
 classic        mc        0.44934881 0.003064905 NA 0.44334938 0.45536302
 block          mc        0.26293291 0.002577920 NA 0.25791160 0.26801667
 representative mc        0.34738987 0.002860599 NA 0.34180457 0.35301750
 classic        z         0.50909910 0.003118647 NA 0.50298561 0.51520987
 block          z         0.28522523 0.002663266 NA 0.28003416 0.29047371
 representative z         0.37915642 0.002939691 NA 0.37341201 0.38493492
 classic        knn       0.46870581 0.003087634 NA 0.46265906 0.47476177
 block          knn       0.30047221 0.002717075 NA 0.29517391 0.30582435
 representative knn       0.33732971 0.002832553 NA 0.33180063 0.34290365
 classic        wsld      0.46516887 0.003083861 NA 0.45913002 0.47121795
 block          wsld      0.29911293 0.002712425 NA 0.29382391 0.30445612
 representative wsld      0.33446347 0.002824294 NA 0.32895093 0.34002158
 classic        COSNet    0.25226322 0.002534159 NA 0.24732884 0.25726241
 block          COSNet    0.08966075 0.001557902 NA 0.08665383 0.09276142
 representative COSNet    0.17208566 0.002137235 NA 0.16793705 0.17631504
 classic        bagsvm    0.51299473 0.003120458 NA 0.50687711 0.51910846
 block          bagsvm    0.30374582 0.002728159 NA 0.29842541 0.30911929
 representative bagsvm    0.39445849 0.002972748 NA 0.38864726 0.40029972
 classic        rf        0.52307085 0.003124168 NA 0.51694443 0.52919033
 block          rf        0.30894539 0.002745426 NA 0.30359053 0.31435208
 representative rf        0.37134536 0.002921562 NA 0.36563750 0.37708935
 classic        svm       0.46892415 0.003087862 NA 0.46287691 0.47498052
 block          svm       0.25460110 0.002543913 NA 0.24964734 0.25961914
 representative svm       0.31217242 0.002755936 NA 0.30679657 0.31759931

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
