network = string:
 cv_scheme      method          prob           SE df  asymp.LCL  asymp.UCL
 classic        wsld      0.45885327 0.0031521257 NA 0.45268185 0.46503733
 block          wsld      0.27981374 0.0028998575 NA 0.27416557 0.28553249
 representative wsld      0.30791761 0.0029750638 NA 0.30211744 0.31377907
 classic        COSNet    0.31306693 0.0029872591 NA 0.30724202 0.31895144
 block          COSNet    0.10279418 0.0019751676 NA 0.09898696 0.10673049
 representative COSNet    0.17859631 0.0024880912 NA 0.17377173 0.18352508
 classic        bagsvm    0.50585739 0.0031374758 NA 0.49970748 0.51200554
 block          bagsvm    0.27218413 0.0028768214 NA 0.26658237 0.27785901
 representative bagsvm    0.37031211 0.0030920382 NA 0.36427253 0.37639255
 classic        rf        0.55152056 0.0030935100 NA 0.54545003 0.55757578
 block          rf        0.31859525 0.0029998235 NA 0.31274481 0.32450347
 representative rf        0.38632100 0.0031117361 NA 0.38024022 0.39243744
 classic        svm       0.49570239 0.0031432881 NA 0.48954263 0.50186347
 block          svm       0.26462162 0.0028528358 NA 0.25906811 0.27025076
 representative svm       0.32850875 0.0030210059 NA 0.32261517 0.33445684

network = omnipath:
 cv_scheme      method          prob           SE df  asymp.LCL  asymp.UCL
 classic        pr        0.04725397 0.0011429069 NA 0.04506371 0.04954517
 block          pr        0.04868714 0.0011602375 NA 0.04646285 0.05101222
 representative pr        0.05356948 0.0012174337 NA 0.05123288 0.05600636
 classic        randomraw 0.03014141 0.0009112163 NA 0.02840582 0.03197956
 block          randomraw 0.01930471 0.0007281341 NA 0.01792813 0.02078476
 representative randomraw 0.02162753 0.0007709736 NA 0.02016697 0.02319137
 classic        random    0.01926474 0.0007273751 NA 0.01788965 0.02074331
 block          random    0.01907529 0.0007237676 NA 0.01770727 0.02054680
 representative random    0.01931459 0.0007283214 NA 0.01793764 0.02079501
 classic        EGAD      0.26281769 0.0026097493 NA 0.25773480 0.26796463
 block          EGAD      0.09430941 0.0016163139 NA 0.09118881 0.09752535
 representative EGAD      0.11897742 0.0018128326 NA 0.11546997 0.12257665
 classic        ppr       0.36039079 0.0029276168 NA 0.35467294 0.36614853
 block          ppr       0.17152992 0.0021611205 NA 0.16733557 0.17580720
 representative ppr       0.23394669 0.0024855923 NA 0.22911030 0.23885355
 classic        raw       0.40761687 0.0030302045 NA 0.40169154 0.41356919
 block          raw       0.19775733 0.0023076101 NA 0.19327344 0.20231916
 representative raw       0.28116084 0.0026810828 NA 0.27593604 0.28644544
 classic        gm        0.21041256 0.0023728559 NA 0.20579954 0.21510097
 block          gm        0.08593552 0.0015431779 NA 0.08295878 0.08900871
 representative gm        0.07865878 0.0014764496 NA 0.07581325 0.08160169
 classic        mc        0.29692885 0.0027379491 NA 0.29159073 0.30232299
 block          mc        0.15083074 0.0020335819 NA 0.14688815 0.15485994
 representative mc        0.21358607 0.0023886967 NA 0.20894169 0.21830520
 classic        z         0.39632904 0.0030085829 NA 0.39044765 0.40224056
 block          z         0.17986849 0.0022094268 NA 0.17557872 0.18423965
 representative z         0.26250368 0.0026084784 NA 0.25742332 0.26764817
 classic        knn       0.36047246 0.0029278220 NA 0.35475419 0.36623059
 block          knn       0.20265146 0.0023332422 NA 0.19811685 0.20726303
 representative knn       0.22757693 0.0024561412 NA 0.22279892 0.23242675
 classic        wsld      0.35473378 0.0029131674 NA 0.34904499 0.36046395
 block          wsld      0.20121447 0.0023257693 NA 0.19669465 0.20581155
 representative wsld      0.22387805 0.0024386832 NA 0.21913465 0.22869406
 classic        COSNet    0.22808515 0.0024585193 NA 0.22330243 0.23293958
 block          COSNet    0.06914537 0.0013840986 NA 0.06648136 0.07190791
 representative COSNet    0.12355126 0.0018465991 NA 0.11997729 0.12721630
 classic        bagsvm    0.39893496 0.0030137348 NA 0.39304312 0.40485622
 block          bagsvm    0.19514729 0.0022937297 NA 0.19069085 0.19968218
 representative bagsvm    0.27603538 0.0026617204 NA 0.27084912 0.28128264
 classic        rf        0.44361114 0.0030871753 NA 0.43756904 0.44966996
 block          rf        0.23262099 0.0024795261 NA 0.22779662 0.23751610
 representative rf        0.28984463 0.0027128998 NA 0.28455645 0.29519054
 classic        svm       0.38923566 0.0029940702 NA 0.38338368 0.39511972
 block          svm       0.18916889 0.0022613720 NA 0.18477644 0.19364095
 representative svm       0.24080469 0.0025164499 NA 0.23590708 0.24577127

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
