network = string:
 cv_scheme      method           prob           SE df   asymp.LCL   asymp.UCL
 block          rf        0.142982958 0.0020194411 NA 0.139070385 0.146986813
 representative rf        0.167648031 0.0021641523 NA 0.163449113 0.171932647
 classic        svm       0.313488623 0.0027205956 NA 0.308181151 0.318845372
 block          svm       0.110524183 0.0017967777 NA 0.107051387 0.114095243
 representative svm       0.126297393 0.0019100919 NA 0.122600903 0.130088811

network = omnipath:
 cv_scheme      method           prob           SE df   asymp.LCL   asymp.UCL
 classic        pr        0.016248462 0.0005535109 NA 0.015198477 0.017369706
 block          pr        0.016638551 0.0005603131 NA 0.015575253 0.017773128
 representative pr        0.012057123 0.0004749637 NA 0.011160845 0.013024429
 classic        randomraw 0.013445866 0.0005022244 NA 0.012496246 0.014466593
 block          randomraw 0.011520828 0.0004640451 NA 0.010645914 0.012466739
 representative randomraw 0.008305879 0.0003927945 NA 0.007570354 0.009112212
 classic        random    0.008650225 0.0004009892 NA 0.007898670 0.009472607
 block          random    0.008619241 0.0004002583 NA 0.007869116 0.009440192
 representative random    0.005695845 0.0003244236 NA 0.005094018 0.006368318
 classic        EGAD      0.105484443 0.0014865909 NA 0.102606072 0.108433803
 block          EGAD      0.030536434 0.0007680046 NA 0.029066576 0.032078165
 representative EGAD      0.030492599 0.0007674267 NA 0.029023872 0.032033197
 classic        ppr       0.170376960 0.0019145464 NA 0.166657286 0.174162304
 block          ppr       0.055494707 0.0010534187 NA 0.053465831 0.057595888
 representative ppr       0.060704004 0.0011051562 NA 0.058573744 0.062906563
 classic        raw       0.241299589 0.0022737247 NA 0.236871276 0.245784026
 block          raw       0.073181962 0.0012216216 NA 0.070823409 0.075612667
 representative raw       0.086353092 0.0013351904 NA 0.083771819 0.089006175
 classic        gm        0.149149685 0.0017867437 NA 0.145681530 0.152685649
 block          gm        0.040120703 0.0008866549 NA 0.038418505 0.041895035
 representative gm        0.035923005 0.0008364287 NA 0.034319167 0.037598877
 classic        mc        0.101136627 0.0014534265 NA 0.098323356 0.104021107
 block          mc        0.042207760 0.0009107642 NA 0.040458343 0.044029351
 representative mc        0.042395594 0.0009129080 NA 0.040641977 0.044221387
 classic        z         0.236283627 0.0022514056 NA 0.231899444 0.240724719
 block          z         0.063907669 0.0011360025 NA 0.061716955 0.066170662
 representative z         0.080642826 0.0012870027 NA 0.078156068 0.083201566
 classic        knn       0.171762176 0.0019225286 NA 0.168026784 0.175563087
 block          knn       0.073255932 0.0012222843 NA 0.070896080 0.075687936
 representative knn       0.064800826 0.0011444792 NA 0.062593497 0.067080425
 classic        wsld      0.166861635 0.0018940989 NA 0.163182221 0.170607099
 block          wsld      0.072336268 0.0012140239 NA 0.069992611 0.074752093
 representative wsld      0.062088311 0.0011185712 NA 0.059931761 0.064317153
 classic        COSNet    0.145745807 0.0017652460 NA 0.142319934 0.149239796
 block          COSNet    0.030543902 0.0007681030 NA 0.029073852 0.032085827
 representative COSNet    0.036674056 0.0008455976 NA 0.035052263 0.038367902
 classic        bagsvm    0.237600474 0.0022573076 NA 0.233204623 0.242053030
 block          bagsvm    0.073208134 0.0012218561 NA 0.070849121 0.075639299
 representative bagsvm    0.084970838 0.0013236644 NA 0.082412174 0.087601357
 classic        rf        0.280705216 0.0024342464 NA 0.275958996 0.285500878
 block          rf        0.090288242 0.0013675416 NA 0.087643505 0.093004652
 representative rf        0.106998173 0.0014979791 NA 0.104097445 0.109969810
 classic        svm       0.213618903 0.0021449623 NA 0.209444987 0.217853077
 block          svm       0.068831025 0.0011820984 NA 0.066549956 0.071184318
 representative svm       0.079183790 0.0012744408 NA 0.076721667 0.081717933

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
